Основной ОКВЭД,Кол-во дополнительных ОКВЭДОВ,Нормализованно Кол-во сотрудников,Система налогообложения,Отношение оборотов,"Нормализованно Доходы (тыс, руб.)",ЗСК,Мошенники,Сервисы регистраторы,Вся негативная информация,Нормализованно Налоговая нагрузка,Нормализованно Уставной капитал (руб),Оценка надежности,Нормализованно Возможная сумма при 3%,score,result
505,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.46,0.5085863006773242,-7.74293150338658,1
797,0.0,0.0,1,0.0,0.0,0.0,0.0302203891579037,0.0605748136275152,1,0.8626996502812897,0.0,0.12,0.5085863006773242,-9.651217759764696,1
317,0.5,0.0,1,0.0,0.0,0.0,0.532492414638035,0.9930650146840664,0,0.7667309303219169,0.0,0.2,0.5063978698806405,-2.147314595804097,1
509,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.23,0.5085863006773242,-3.1429315033866043,1
503,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.0,0.02,0.0,32.76634534839024,0
836,0.5,0.0,1,0.0,0.0,0.0,0.152723563844695,0.1614211556933834,0,0.8626996502812897,0.0,0.56,0.5085863006773242,-17.866114309875115,1
283,0.5,0.0,1,0.8333333333333334,0.0,0.0,0.0258576430422141,0.0712033070087416,0,0.7667309303219169,0.0,0.13,0.5004084686532692,-7.801616008485726,1
633,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.32,0.4903996406455188,-2.851998203227578,1
340,0.5,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.2785761395134556,0.06,0.0,32.68776920887678,0
654,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.3482166963247878,0.1,0.5374883466363704,-2.035658429506629,1
503,0.5,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.2785761395134556,0.01,0.0,43.521423860486316,0
484,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0,0.7667309303219169,0.3272522828698422,0.28,0.5314989053611596,24.581598538714648,0
503,0.5,0.0,0,1.0,0.0,2.0,0.0,0.0,0,0.0,0.2785761395134556,0.2,0.5260553684374635,37.09114701829903,0
302,0.5,0.08322400828304662,1,0.16666666666666666,0.5020168144146996,1.0,0.0,0.0,1,0.7667309303219169,0.31180241181980956,0.84,0.6128306374178407,-5.684125524743459,1
611,0.5,0.0,1,1.0,0.0,0.0,0.0385929493254783,0.5800723330706583,0,0.0,0.0,0.4,0.5004084686532692,-5.71286475023854,1
283,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,1,0.7667309303219169,0.0,0.1,0.5004084686532692,30.664303005123905,0
548,0.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.14,0.5085863006773242,-1.342931503386614,1
340,0.5,0.0,1,0.0,0.0,1.0,0.936209588044693,0.9636330455100698,0,0.7667309303219169,0.2785761395134556,0.02,0.0,26.75924418629478,0
